Name,City,Country
Marilyn,Giesteira,Portugal
Sharon,Denver,United States
Cheryl,Mawu,China
Julie,Krajan Dermawuharjo,Indonesia
Jeffrey,Cabouco,Portugal
Frank,Kertasari,Indonesia
Jean,Leigao,China
Ruby,Vitina,Kosovo
Peter,Bonneuil-sur-Marne,France
Emily,Tseel,Mongolia
Christine,Yegorlykskaya,Russia
Paula,Santa Rosa,Argentina
Matthew,Tabuc Pontevedra,Philippines
Betty,Sabirabad,Azerbaijan
Louise,Fengsheng,China
Ernest,Qinghe,China
Benjamin,Sampués,Colombia
Evelyn,Igbor,Nigeria
Annie,La Cuesta,Peru
Stephen,Cikandang,Indonesia
Ronald,San Francisco,United States
Ronald,Alvaiázere,Portugal
Scott,Cabadiangan,Philippines
Jose,Obonoma,Nigeria
Paula,Manūjān,Iran
Katherine,Bago,Indonesia
Lois,Cajolá,Guatemala
Cynthia,Obock,Djibouti
Marie,Hane,Indonesia
Eugene,Bugko,Philippines
Diane,Ciawi,Indonesia
Melissa,Maceió,Brazil
Johnny,Katsina,Nigeria
Maria,Borgholm,Sweden
Carlos,Turbaco,Colombia
Angela,Rizal,Philippines
Diane,Bacong,Philippines
Judy,Dinskaya,Russia
Michael,Jujur,Indonesia
Harold,Ventsy,Russia
Teresa,Horodnya,Ukraine
Rachel,Olleros,Peru
Anne,Daru Rilwan,Gambia
Kelly,Taloy,Philippines
Albert,Fenggang,China
Christopher,Bertioga,Brazil
Julia,Örebro,Sweden
Jerry,Quzhou,China
Christine,Yilan,Taiwan
Ernest,Burunday,Kazakhstan
Kevin,Bachaquero,Venezuela
Kathryn,Wenwuba,China
John,Tafo,Ghana
Jason,San Jose,Mexico
Janice,Buyant,Mongolia
Christina,Černovice,Czech Republic
Margaret,Beni,Democratic Republic of the Congo
Walter,Kalloní,Greece
Paula,Sulahan,Indonesia
Sharon,Buyunshan,China
Mildred,Oster,Russia
Christina,Macau,Macao
Justin,Végueta,Peru
William,Loei,Thailand
Amanda,Pinheiral,Portugal
Donna,Taltal,Chile
Annie,Acobambilla,Peru
Judith,Ponce,Puerto Rico
Antonio,Qiryat Shemona,Israel
Kevin,Longlisuo,China
Theresa,Cachada,Portugal
Johnny,Kobe,Japan
Albert,Wuqu,China
Anne,Gapan,Philippines
Melissa,Vári,Greece
Lois,Mayma,Russia
Richard,Feodosiya,Ukraine
Raymond,Rawa Mazowiecka,Poland
Kathleen,Cibangban Girang,Indonesia
Anne,Yezhi,China
Kathleen,Jermenovci,Serbia
Howard,Pajeksan,Indonesia
Emily,Paola,Malta
Lois,Motrico,Philippines
Rachel,Bolesławiec,Poland
Jeremy,Barra do Garças,Brazil
Kathryn,Gamawa,Nigeria
Philip,Iracemápolis,Brazil
Richard,Bontang,Indonesia
Brandon,Libas,Philippines
Karen,San Ramón de la Nueva Orán,Argentina
Annie,Dragomer,Slovenia
Shawn,Mariscala,Uruguay
Cynthia,Carmen,Philippines
Maria,Erjiegou,China
Lawrence,Limoeiro,Brazil
Alan,Ebute Ikorodu,Nigeria
Brandon,Boto,Indonesia
Teresa,Malpique,Portugal
Jesse,Mezhdurechensk,Russia
Wanda,Lincoln,United States
Scott,Hong’an Chengguanzhen,China
Sharon,Duobagou,China
Douglas,Baon,Philippines
Wayne,Jinghong,China
Jesse,Huangwei,China
Jack,Duwakbuter,Indonesia
Anne,Shunde,China
Ronald,Lleida,Spain
Benjamin,Warungsugan,Indonesia
Janice,Kalembutillu,Indonesia
Kathryn,Cabano,Canada
Deborah,Looc,Philippines
Raymond,Salam,Indonesia
Russell,Bergen op Zoom,Netherlands
Ryan,Waekolong,Indonesia
Bonnie,Zaraysk,Russia
Christina,Bell Ville,Argentina
Donna,Seixas,Portugal
Betty,Bangonay,Philippines
Thomas,Zelenograd,Russia
James,Caomiao,China
Victor,Uummannaq,Greenland
Linda,Lianghu,China
Christine,Largo,United States
Roger,Nguigmi,Niger
Nicholas,Panagyurishte,Bulgaria
Raymond,Veiga,Portugal
Martha,Thị Trấn Tam Sơn,Vietnam
Sara,Adelaide,South Africa
Ralph,Wangjiang,China
Margaret,Yaozhanzi,China
Gerald,Cabalaoangan,Philippines
Tammy,Tønsberg,Norway
Lisa,Savski Venac,Serbia
Tina,Campor,Indonesia
Lisa,Dhalie,Yemen
Marilyn,Leiguan,China
Harry,Datong,China
Sharon,Cochabamba,Peru
Robin,Ganzhou,China
Louis,Henan’an,China
Christine,Picoto,Portugal
Anne,Al Bīrah,Palestinian Territory
Amy,Vrakháti,Greece
Steven,Gniezno,Poland
Daniel,Tacurong,Philippines
Todd,Chaoyang,China
Rebecca,Janakkala,Finland
Timothy,Schœlcher,Martinique
Gloria,Padaimut,Indonesia
Justin,Pointe-Noire,Republic of the Congo
Joe,Pau,France
Cheryl,Phaya Thai,Thailand
Kathleen,Kertanegla,Indonesia
Clarence,Fovissste,Mexico
Lori,Khvalovo,Russia
Kenneth,Karangintan,Indonesia
Sarah,Złoty Stok,Poland
Chris,Mucllo,Peru
Brenda,Jimusa’er,China
Kimberly,Yeri,Cyprus
Marilyn,San Jose,Mexico
Fred,Nemuro,Japan
Judith,Rijswijk,Netherlands
Gerald,Montfort-sur-Meu,France
Ruth,Santa Cruz,Mexico
Jack,Sarbīsheh,Iran
Gerald,Wenqiao,China
Earl,Ōdate,Japan
Kimberly,Concepción,Bolivia
Edward,Manouba,Tunisia
Wanda,Casal de São João,Portugal
Pamela,Xinji,China
Tammy,Rosaspata,Peru
Emily,Zibreira,Portugal
Clarence,Mammari,Cyprus
Timothy,Malo,Indonesia
Beverly,Zhengcun,China
Christopher,Rodionovo-Nesvetayskaya,Russia
Jeremy,Stockholm,Sweden
Johnny,Västerås,Sweden
Debra,Karangboyo,Indonesia
Andrea,Zdounky,Czech Republic
Chris,Roodepoort,South Africa
Frank,Próti,Greece
Brenda,Paris 06,France
Jimmy,Kāleke Mandi,Pakistan
Jean,Sekirnik,Macedonia
Barbara,São José dos Campos,Brazil
Raymond,Turtas,Russia
Barbara,Yingtou,China
Kimberly,Zhangbagou,China
Lawrence,Cluses,France
Elizabeth,Tongqiao,China
Sharon,Grenoble,France
Roger,Tazhuang,China
Melissa,Nueva Loja,Ecuador
Arthur,Shiyuetian,China
Kelly,Atlantis,South Africa
Diane,Guilherand-Granges,France
Lillian,Alto do Estanqueiro,Portugal
Joshua,Bondowoso,Indonesia
Maria,Scholkine,Ukraine
Jane,Tailing,China
Harry,Dongchong,China
George,Jibu,China
Amy,Maloarkhangel’sk,Russia
Jane,Tovačov,Czech Republic
Patrick,Ergates,Cyprus
Willie,Boundiali,Ivory Coast
Howard,Guadalupe,Costa Rica
Irene,Alaminos,Philippines
Pamela,Lela,Indonesia
Nicole,Yanmen,China
Mark,'s-Hertogenbosch,Netherlands
Victor,Bolgar,Russia
Eugene,El Sombrero,Venezuela
Steve,Longtou’an,China
Sean,Myaydo,Myanmar
Brenda,Bansalan,Philippines
Bruce,Dahewan,China
Joseph,Qigzhi,China
Patrick,Sandaogou,China
Frances,Bierawa,Poland
Virginia,Sélestat,France
Pamela,Donja Mahala,Bosnia and Herzegovina
Mildred,Sukhirin,Thailand
Steven,Ica,Peru
Sandra,Svobody,Russia
Lois,Malitubog,Philippines
Kathleen,Vale,Georgia
Marilyn,Dŭstí,Tajikistan
Evelyn,Nangahale,Indonesia
Sandra,Formosa,Argentina
Virginia,Quaraí,Brazil
Carolyn,Quimperlé,France
Raymond,San Antonio,Mexico
Justin,Beranci,Macedonia
Harry,Otavalo,Ecuador
Betty,Sogamoso,Colombia
Christine,Khashuri,Georgia
Johnny,Créteil,France
Jeremy,Xindong,China
Jesse,Bachuan,China
Kenneth,Lame,Nigeria
Susan,Vargem Grande Paulista,Brazil
Rose,Yelyzavethradka,Ukraine
Angela,Nanzhao,China
Janice,Shangjia,China
Christina,Masohi,Indonesia
Denise,Złota,Poland
Keith,Tutem,Indonesia
Joshua,Épinal,France
Stephen,Xinglongquan,China
Juan,Sukošan,Croatia
Paula,Latung,Philippines
Beverly,Leshan,China
Theresa,Sūq al Khamīs,Yemen
Adam,Aija,Peru
Elizabeth,Nürnberg,Germany
Wanda,Alcaldedíaz,Panama
Emily,Jindong,China
Martin,Zhangbang,China
Joe,Zafarwāl,Pakistan
Alan,Kėdainiai,Lithuania
Judy,Lauro de Freitas,Brazil
Kenneth,Józefosław,Poland
Kenneth,Dadian,China
Bobby,Shuangtang,China
Louise,Muyuzi,China
Jonathan,Penanggal,Indonesia
Juan,Beipai,China
Henry,Armash,Armenia
Lisa,Cipari Satu,Indonesia
Johnny,Gao,Mali
Linda,Mandikbatu,Indonesia
Catherine,Vimmerby,Sweden
Steven,Īz̄eh,Iran
Jimmy,Hola Prystan’,Ukraine
Laura,Makumbako,Tanzania
Joe,Bamusso,Cameroon
Mildred,Poretskoye,Russia
Ruth,Tongyang,China
Victor,Pueblo Nuevo,Peru
Carolyn,Portelinha,Portugal
Chris,Bergen,Norway
Nicole,Xindeng,China
Ernest,Raszowa,Poland
Beverly,Moss,Norway
Jennifer,Vol’sk,Russia
Jason,Ganding,Indonesia
Steven,Krynychky,Ukraine
Jimmy,Kālīganj,Bangladesh
Jason,Jastrebarsko,Croatia
Katherine,Salinungan Proper,Philippines
Janet,Makamba,Burundi
Sharon,Shizong,China
Robert,Tuanjie,China
Helen,Guanqian,China
Tammy,Bosen,Indonesia
Sandra,Montes Claros,Brazil
Brian,Mriyunan,Indonesia
Katherine,Manjing,China
Doris,Otutara,French Polynesia
Paul,Tsuen Wan,Hong Kong
Susan,Sanfins,Portugal
Tammy,Santa Cruz del Sur,Cuba
Janice,Lianrao,China
Kathleen,Alexandria,Jamaica
Emily,Zborište,Bosnia and Herzegovina
Jason,Hezheng Chengguanzhen,China
Cynthia,Seixas do Douro,Portugal
Paula,Grand Forks,United States
Donald,Minamata,Japan
Andrea,Dearborn,United States
Roger,Manhiça,Mozambique
Eric,Sabana Grande,Venezuela
Gregory,Menara,Indonesia
Victor,Yanglin,China
Marilyn,Pengdian,China
Terry,Peremyshl’,Russia
Sean,Shaliu,China
Alice,Trondheim,Norway
